date,hour,type,东城东四,东城天坛,西城官园,西城万寿西宫,朝阳奥体中心,朝阳农展馆,海淀万柳,海淀四季青,丰台小屯,丰台云岗,石景山古城,石景山老山,昌平镇,昌平南邵,定陵(对照点),延庆夏都,延庆石河营,怀柔镇,怀柔新城,密云镇,密云新城,平谷镇,平谷新城,顺义新城,顺义北小营,通州永顺,通州东关,大兴黄村,大兴旧宫,亦庄开发区,京东南区域点,门头沟双峪,门头沟三家店,房山良乡,房山燕山
20250815,0,PM2.5,18,17,28,14,17,7,29,33,19,,20,16,23,21,17,17,19,21,21,19,18,27,32,,23,22,17,20,11,12,6,19,25,22,28
20250815,0,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250815,0,PM10,27,23,39,28,29,22,41,47,25,29,27,23,33,28,27,26,26,26,28,26,24,36,43,,35,31,26,31,16,17,9,29,30,34,53
20250815,0,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250815,0,AQI,37,35,40,35,33,31,42,48,30,30,38,26,35,34,37,40,37,39,31,37,31,39,46,,35,33,32,31,34,28,27,29,36,35,52
20250815,1,PM2.5,24,13,29,13,22,10,26,30,19,,35,34,23,23,17,17,20,18,18,28,27,27,32,,25,24,22,19,17,13,10,18,23,26,24
20250815,1,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250815,1,PM10,35,17,38,26,38,27,35,39,25,34,50,57,33,30,25,27,27,24,28,39,34,36,45,,43,34,33,28,27,18,,28,31,40,61
20250815,1,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250815,1,AQI,35,25,42,33,38,27,38,43,28,34,50,54,33,33,28,37,33,34,30,40,39,39,46,,43,35,33,29,27,19,19,28,33,40,56
20250815,2,PM2.5,29,12,32,19,28,14,29,29,33,,32,25,23,25,16,17,17,17,18,29,25,24,31,,23,30,29,23,17,11,14,20,25,31,25
20250815,2,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
