date,hour,type,东城东四,东城天坛,西城官园,西城万寿西宫,朝阳奥体中心,朝阳农展馆,海淀万柳,海淀四季青,丰台小屯,丰台云岗,石景山古城,石景山老山,昌平镇,昌平南邵,定陵(对照点),延庆夏都,延庆石河营,怀柔镇,怀柔新城,密云镇,密云新城,平谷镇,平谷新城,顺义新城,顺义北小营,通州永顺,通州东关,大兴黄村,大兴旧宫,亦庄开发区,京东南区域点,门头沟双峪,门头沟三家店,房山良乡,房山燕山
20251021,0,SO2,2,1,6,1,4,3,4,3,3,2,3,3,4,3,3,1,3,3,3,5,1,2,3,5,1,3,4,3,4,1,3,3,3,1,1
20251021,0,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251021,0,NO2,44,27,42,57,52,44,47,22,39,34,21,40,16,16,8,29,43,16,10,29,21,16,15,48,37,56,64,34,46,46,33,24,17,59,13
20251021,0,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251021,0,O3,7,2,8,2,1,5,1,1,1,5,16,2,28,2,25,10,2,22,30,9,15,20,12,1,2,2,2,2,1,2,2,11,22,2,15
20251021,0,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251021,0,CO,0.5,0.6,0.3,0.5,0.2,0.3,0.5,0.5,0.7,0.2,0.1,0.3,0.3,0.5,0.2,0.5,0.4,0.5,0.2,0.3,0.3,0.4,0.3,0.3,0.5,0.5,0.4,0.4,0.5,0.4,0.4,0.4,0.2,0.4,0.3
20251021,0,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251021,1,SO2,2,1,6,1,4,3,3,3,3,2,3,3,4,1,4,1,4,3,3,5,1,2,3,5,1,3,4,3,4,1,3,3,3,1,1
20251021,1,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251021,1,NO2,46,30,43,53,50,44,45,23,35,36,15,33,13,15,5,36,43,7,3,26,9,16,12,46,35,53,61,31,37,47,27,19,19,58,12
20251021,1,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251021,1,O3,5,2,5,2,2,1,1,2,2,4,23,6,30,1,27,2,2,28,36,12,33,18,14,3,5,2,1,2,1,2,2,16,20,2,14
20251021,1,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251021,1,CO,0.4,0.6,0.2,0.5,0.2,0.2,0.5,0.5,0.6,0.2,0.3,0.3,0.3,0.5,0.2,0.5,0.4,0.5,0.2,0.3,0.3,0.4,0.2,0.3,0.5,0.4,0.4,0.4,0.5,0.4,0.4,0.3,0.2,0.4,0.3
20251021,1,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251021,2,SO2,2,1,6,1,4,3,4,4,3,2,2,3,4,3,4,2,4,3,2,5,1,2,3,5,1,3,4,3,5,1,3,1,3,1,1
20251021,2,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251021,2,NO2,40,29,45,50,48,43,41,27,33,37,35,43,11,16,3,36,35,7,2,32,11,13,11,40,25,52,53,35,36,46,26,23,23,51,10
20251021,2,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251021,2,O3,6,3,2,2,2,1,2,2,2,2,5,2,32,2,37,2,2,25,34,7,29,17,15,9,13,2,1,2,1,2,2,,14,2,14
20251021,2,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
